player_id,operator_name,product,tracking_id,card_id,registration_date,ftd_date,commission_per_ftd,commission_earned,currency
PLY0004058,StarStake,,250331603003,603,31/03/2025,,300,0,USD
PLY0004061,StarStake,,250331603003,603,31/03/2025,,300,0,USD
PLY0004056,StarStake,,250331603003,603,31/03/2025,,300,0,USD
PLY0004057,StarStake,,250331603003,603,31/03/2025,,300,0,USD
PLY0004059,StarStake,,250331603003,603,31/03/2025,,300,0,USD
PLY0004060,StarStake,,250331603003,603,31/03/2025,,300,0,USD
PLY0004055,StarStake,,250331603003,603,31/03/2025,,300,0,USD
PLY0004054,StarStake,,250331602002,602,31/03/2025,31/03/2025,300,300,USD
PLY0004052,StarStake,,250331602002,602,31/03/2025,,300,0,USD
PLY0004053,StarStake,,250331602002,602,31/03/2025,,300,0,USD
PLY0004050,StarStake,,250331602002,602,31/03/2025,,300,0,USD
PLY0004051,StarStake,,250331602002,602,31/03/2025,,300,0,USD
PLY0004046,StarStake,,250331601001,601,31/03/2025,,300,0,USD
PLY0004047,StarStake,,250331601001,601,31/03/2025,,300,0,USD
PLY0004048,StarStake,,250331601001,601,31/03/2025,,300,0,USD
PLY0004049,StarStake,,250331601001,601,31/03/2025,,300,0,USD
PLY0004045,BlazeWin,,250331503003,503,31/03/2025,,190,0,EUR
PLY0004042,BlazeWin,,250331503003,503,31/03/2025,,190,0,EUR
PLY0004044,BlazeWin,,250331503003,503,31/03/2025,,190,0,EUR
PLY0004043,BlazeWin,,250331503003,503,31/03/2025,,190,0,EUR
PLY0004041,BlazeWin,,250331502002,502,31/03/2025,,190,0,EUR
PLY0004039,BlazeWin,,250331502002,502,31/03/2025,,190,0,EUR
PLY0004040,BlazeWin,,250331502002,502,31/03/2025,,190,0,EUR
PLY0004037,BlazeWin,,250331501001,501,31/03/2025,31/03/2025,190,190,EUR
PLY0004032,BlazeWin,,250331501001,501,31/03/2025,,190,0,EUR
PLY0004036,BlazeWin,,250331501001,501,31/03/2025,,190,0,EUR
PLY0004033,BlazeWin,,250331501001,501,31/03/2025,,190,0,EUR
PLY0004035,BlazeWin,,250331501001,501,31/03/2025,,190,0,EUR
PLY0004038,BlazeWin,,250331501001,501,31/03/2025,,190,0,EUR
PLY0004034,BlazeWin,,250331501001,501,31/03/2025,,190,0,EUR
PLY0004029,RoyalPlex,Sportsbook,250331411003,411,31/03/2025,,225,0,EUR
PLY0004026,RoyalPlex,Sportsbook,250331411003,411,31/03/2025,,225,0,EUR
PLY0004028,RoyalPlex,Sportsbook,250331411003,411,31/03/2025,,225,0,EUR
PLY0004030,RoyalPlex,Sportsbook,250331411003,411,31/03/2025,,225,0,EUR
PLY0004027,RoyalPlex,Sportsbook,250331411003,411,31/03/2025,,225,0,EUR
PLY0004031,RoyalPlex,Sportsbook,250331411003,411,31/03/2025,,225,0,EUR
PLY0004023,RoyalPlex,Casino,250331402002,402,31/03/2025,,150,0,EUR
PLY0004024,RoyalPlex,Casino,250331402002,402,31/03/2025,,150,0,EUR
PLY0004025,RoyalPlex,Casino,250331402002,402,31/03/2025,,150,0,EUR
PLY0004021,RoyalPlex,Casino,250331401001,401,31/03/2025,,150,0,EUR
PLY0004020,RoyalPlex,Casino,250331401001,401,31/03/2025,,150,0,EUR
PLY0004022,RoyalPlex,Casino,250331401001,401,31/03/2025,,150,0,EUR
PLY0004019,RoyalPlex,Casino,250331401001,401,31/03/2025,,150,0,EUR
PLY0004016,StarStake,,250330603003,603,30/03/2025,,300,0,USD
PLY0004018,StarStake,,250330603003,603,30/03/2025,,300,0,USD
PLY0004017,StarStake,,250330603003,603,30/03/2025,,300,0,USD
PLY0004013,StarStake,,250330602002,602,30/03/2025,,300,0,USD
PLY0004015,StarStake,,250330602002,602,30/03/2025,,300,0,USD
PLY0004011,StarStake,,250330602002,602,30/03/2025,,300,0,USD
PLY0004009,StarStake,,250330602002,602,30/03/2025,,300,0,USD
PLY0004010,StarStake,,250330602002,602,30/03/2025,,300,0,USD
PLY0004012,StarStake,,250330602002,602,30/03/2025,,300,0,USD
PLY0004014,StarStake,,250330602002,602,30/03/2025,,300,0,USD
PLY0004007,StarStake,,250330601001,601,30/03/2025,,300,0,USD
PLY0004006,StarStake,,250330601001,601,30/03/2025,,300,0,USD
PLY0004005,StarStake,,250330601001,601,30/03/2025,,300,0,USD
PLY0004008,StarStake,,250330601001,601,30/03/2025,,300,0,USD
PLY0004003,BlazeWin,,250330503003,503,30/03/2025,,190,0,EUR
PLY0004004,BlazeWin,,250330503003,503,30/03/2025,,190,0,EUR
PLY0004002,BlazeWin,,250330503003,503,30/03/2025,,190,0,EUR
