date,campaign_id,campaign_name,impressions,clicks,inbounds,outbounds,spend_gbp,
31/03/2025,1,Spring_Slots_Push,83606,1597,1562,714,195.51,
31/03/2025,2,Welcome_Bonus_Drive,44439,1596,1533,514,102.39,
31/03/2025,3,Champions_Sports_Promo,54967,1361,1295,446,183.7,
30/03/2025,1,Spring_Slots_Push,82442,1953,1923,1137,174.83,
30/03/2025,2,Welcome_Bonus_Drive,63376,2388,2343,984,107.15,
30/03/2025,3,Champions_Sports_Promo,32062,643,625,298,61.24,
29/03/2025,1,Spring_Slots_Push,78581,892,862,499,225.58,
29/03/2025,2,Welcome_Bonus_Drive,31433,1047,1006,593,108.97,
29/03/2025,3,Champions_Sports_Promo,57104,1211,1197,427,174.03,
28/03/2025,1,Spring_Slots_Push,90567,1526,1493,891,180.3,
28/03/2025,2,Welcome_Bonus_Drive,40071,1237,1184,550,105.25,
28/03/2025,3,Champions_Sports_Promo,56722,2240,2208,959,160.43,
27/03/2025,1,Spring_Slots_Push,68084,966,932,527,169.57,
27/03/2025,2,Welcome_Bonus_Drive,69441,2250,2190,1256,145.44,
27/03/2025,3,Champions_Sports_Promo,32480,774,749,246,191.85,
26/03/2025,1,Spring_Slots_Push,62113,934,905,362,166.73,
26/03/2025,2,Welcome_Bonus_Drive,30895,1348,1322,448,116.06,
26/03/2025,3,Champions_Sports_Promo,43683,1522,1481,712,93.36,
25/03/2025,1,Spring_Slots_Push,53385,858,824,316,202.65,
25/03/2025,2,Welcome_Bonus_Drive,57398,2005,1976,700,80.05,
25/03/2025,3,Champions_Sports_Promo,41078,995,964,551,74.11,
24/03/2025,1,Spring_Slots_Push,67947,2025,1999,855,242.47,
24/03/2025,2,Welcome_Bonus_Drive,35959,1700,1640,750,150.02,
24/03/2025,3,Champions_Sports_Promo,35166,859,830,264,119.79,
23/03/2025,1,Spring_Slots_Push,95937,1433,1408,506,255.97,
23/03/2025,2,Welcome_Bonus_Drive,36754,1618,1569,555,179.26,
23/03/2025,3,Champions_Sports_Promo,58744,1913,1828,614,116.18,
22/03/2025,1,Spring_Slots_Push,72422,1346,1310,396,222.03,
22/03/2025,2,Welcome_Bonus_Drive,48495,1926,1888,706,95.25,
22/03/2025,3,Champions_Sports_Promo,53504,1270,1220,408,96.89,
21/03/2025,1,Spring_Slots_Push,58351,962,943,532,225.28,
21/03/2025,2,Welcome_Bonus_Drive,55483,1810,1788,961,92.61,
21/03/2025,3,Champions_Sports_Promo,42552,1276,1251,464,154.96,
20/03/2025,1,Spring_Slots_Push,96479,1347,1289,402,209.18,
20/03/2025,2,Welcome_Bonus_Drive,51706,2482,2373,853,127.93,
20/03/2025,3,Champions_Sports_Promo,37419,837,811,363,155.44,
19/03/2025,1,Spring_Slots_Push,64817,1258,1213,496,283.83,
19/03/2025,2,Welcome_Bonus_Drive,65155,3012,2874,1240,163.94,
19/03/2025,3,Champions_Sports_Promo,30605,697,682,205,183.7,
18/03/2025,1,Spring_Slots_Push,57023,576,567,201,203.18,
18/03/2025,2,Welcome_Bonus_Drive,36641,1414,1354,621,169.85,
18/03/2025,3,Champions_Sports_Promo,46916,1054,1021,353,151.93,
17/03/2025,1,Spring_Slots_Push,91364,1953,1872,732,289.97,
17/03/2025,2,Welcome_Bonus_Drive,63785,2966,2821,1238,141.77,
17/03/2025,3,Champions_Sports_Promo,51999,1099,1044,457,101.77,
16/03/2025,1,Spring_Slots_Push,73153,2125,2054,849,205.99,
16/03/2025,2,Welcome_Bonus_Drive,37420,1375,1343,738,165.08,
16/03/2025,3,Champions_Sports_Promo,27724,715,693,262,60.31,
15/03/2025,1,Spring_Slots_Push,98884,1003,969,446,201.76,
15/03/2025,2,Welcome_Bonus_Drive,64610,2822,2685,1166,96.85,
